epoch,train_loss,train_acc,val_loss,val_acc,test_acc,learning_rate
1,0.9706422594852825,0.5,1.0188692383502755,0.5,0.5,0.001
2,0.8380529346582941,0.5,0.9921962066018215,0.5,0.5,0.001
3,0.7505819223837872,0.5,0.847271409328893,0.5,0.5,0.001
4,0.6792722332221869,0.5,0.7370520639374638,0.5,0.5,0.001
5,0.567683485246548,0.5,0.7234879834571221,0.5,0.5,0.001
6,0.5018869206016155,0.5116754796840927,0.600126946460841,0.5,0.5,0.001
7,0.4815220054213032,0.5177578933628935,0.5879764312792224,0.5,0.5,0.001
8,0.4165429064952602,0.5934924224836601,0.4741027822587187,0.5298130468239797,0.524150069527952,0.001
9,0.3498507729271925,0.6537655873232838,0.4497499441779862,0.5503267576716507,0.5513232713225271,0.001
10,0.33398136102014914,0.6595674414337995,0.45710004898827583,0.5393811440110969,0.5343463874699349,0.0005
11,0.2827815547645049,0.7208324012905792,0.43928929936571265,0.5394801395035311,0.5239735051928698,0.0005
12,0.2559842931501814,0.7593960725144783,0.3920688071178209,0.6016215130406988,0.6023071427887591,0.0005
13,0.2471133170178343,0.7525284225910661,0.35666662272911753,0.6381926595229809,0.6275696223857198,0.0005
14,0.18419082335982595,0.8314556131983141,0.32734086517173133,0.6606249757899444,0.6653609000962962,0.0005
15,0.17090086791160367,0.8029016810474989,0.27094322851056374,0.7266374858144461,0.7174432434721081,0.0005
16,0.17947220270459308,0.8287468223391592,0.2750116358785089,0.7310491269737093,0.7465484710238847,0.0005
17,0.1578250435944647,0.843045427087917,0.2662095477496323,0.7620832407685257,0.7542507078451633,0.0005
18,0.17349045939165528,0.8235194671036861,0.29703878782462995,0.7055798793678477,0.702359264205791,0.0005
19,0.13968383936441425,0.8612337684009408,0.2625927554025913,0.7412705004582502,0.7494056726319469,0.0005
20,0.12154099434115813,0.8585833165128329,0.1878267486285305,0.8110565626349769,0.7987479194706374,0.00025
21,0.17216510224547127,0.8256381788761535,0.24018212583137627,0.731036305939138,0.7333109052851793,0.00025
22,0.1323676413915093,0.8712034843236081,0.20980880114389658,0.7897934907243652,0.8028649182671895,0.00025
23,0.13309620047182644,0.8816827399755887,0.19298410835046198,0.8079193447986535,0.7918445124530412,0.00025
24,0.09882875872302344,0.8959885390942401,0.22448505149935977,0.8124635801879195,0.8143099187732425,0.00025
25,0.11263009136550546,0.8792849726055626,0.23071705404274248,0.7663975314855407,0.7689963594280249,0.00025
26,0.12246036324000172,0.8725220663241529,0.2220955719931788,0.7824276381418255,0.7902458668595986,0.00025
27,0.09440250309104747,0.9147515180859732,0.1639873694023079,0.8354919540521134,0.8231224469433326,0.00025
28,0.12250953718739115,0.8807779739092058,0.17545888766920212,0.8070109417665049,0.7938063756356621,0.00025
29,0.10089403878210378,0.8938083591802258,0.190745313974858,0.8263970282428672,0.8316164438990362,0.00025
30,0.10527512154237678,0.8998575527887567,0.20659007626096332,0.8046889192293383,0.8076587659616702,0.000125
